epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,9519.53,0.28863,0.21426,0.88542,0.99767,0.99832,0.99436,0.97476,0.21059,0.13419,0.78412,0.005149,0.005149,0.005149
100,9616.24,0.28876,0.21266,0.89008,0.99764,0.99832,0.99426,0.97463,0.20784,0.1372,0.78291,0.0050995,0.0050995,0.0050995
101,9712.78,0.29406,0.21951,0.88925,0.99773,0.99832,0.99419,0.97481,0.21147,0.13426,0.7858,0.00505,0.00505,0.00505
102,9809.7,0.29319,0.21639,0.88795,0.99772,0.99832,0.99361,0.97422,0.20932,0.13355,0.78701,0.0050005,0.0050005,0.0050005
103,9906.05,0.29108,0.21975,0.88898,0.99767,0.99832,0.99344,0.9736,0.21147,0.1354,0.78699,0.004951,0.004951,0.004951
104,10003,0.28425,0.2118,0.88593,0.99781,0.99832,0.99394,0.97548,0.20849,0.13447,0.78599,0.0049015,0.0049015,0.0049015
105,10099.2,0.29252,0.21658,0.89371,0.99774,0.99832,0.99357,0.97369,0.20724,0.13496,0.78587,0.004852,0.004852,0.004852
106,10196,0.28822,0.21451,0.89162,0.99778,0.99832,0.99349,0.97345,0.20554,0.13292,0.78564,0.0048025,0.0048025,0.0048025
107,10292.5,0.29167,0.21694,0.89012,0.9978,0.99832,0.99344,0.97301,0.20428,0.12922,0.78578,0.004753,0.004753,0.004753
108,10389,0.28904,0.21452,0.88654,0.99777,0.99832,0.99374,0.97406,0.20439,0.13071,0.78452,0.0047035,0.0047035,0.0047035
109,10485.7,0.28264,0.21226,0.8873,0.99778,0.99832,0.99359,0.97582,0.20145,0.12744,0.78279,0.004654,0.004654,0.004654
110,10582.5,0.2792,0.20094,0.88311,0.99772,0.99832,0.99351,0.97646,0.1994,0.12611,0.78113,0.0046045,0.0046045,0.0046045
111,10679.4,0.28102,0.20989,0.88503,0.99774,0.99832,0.99371,0.97689,0.19858,0.12157,0.78054,0.004555,0.004555,0.004555
112,10775.6,0.2806,0.20355,0.88469,0.99781,0.99832,0.99367,0.97572,0.20246,0.12453,0.78271,0.0045055,0.0045055,0.0045055
113,10872.9,0.28135,0.20911,0.88453,0.99763,0.99832,0.99378,0.97665,0.20525,0.12605,0.78272,0.004456,0.004456,0.004456
114,10969.5,0.27585,0.20732,0.88313,0.99768,0.99832,0.99384,0.9761,0.20615,0.12867,0.78394,0.0044065,0.0044065,0.0044065
115,11066.7,0.2755,0.20656,0.88214,0.99774,0.99832,0.99403,0.97633,0.20385,0.12992,0.78388,0.004357,0.004357,0.004357
116,11162.9,0.2754,0.19714,0.88688,0.99776,0.99832,0.99411,0.97794,0.19969,0.12677,0.7824,0.0043075,0.0043075,0.0043075
117,11260,0.2768,0.20215,0.88621,0.99729,0.99832,0.99431,0.97819,0.19937,0.13067,0.78465,0.004258,0.004258,0.004258
118,11357.2,0.27419,0.2001,0.88362,0.99761,0.99832,0.99408,0.9778,0.19983,0.12728,0.7858,0.0042085,0.0042085,0.0042085
119,11453.4,0.27301,0.20051,0.88397,0.99757,0.99832,0.99401,0.97839,0.19989,0.12946,0.78752,0.004159,0.004159,0.004159
120,11550.2,0.27027,0.20432,0.88235,0.99749,0.99832,0.99445,0.97537,0.20243,0.13133,0.78835,0.0041095,0.0041095,0.0041095
121,11646.6,0.2714,0.20446,0.88255,0.99752,0.99832,0.9944,0.97605,0.20381,0.13117,0.78784,0.00406,0.00406,0.00406
122,11743.8,0.27601,0.20504,0.88658,0.99753,0.99832,0.99423,0.97676,0.20179,0.129,0.78739,0.0040105,0.0040105,0.0040105
123,11840.7,0.27515,0.20163,0.8809,0.99754,0.99832,0.99416,0.97709,0.20196,0.12845,0.78437,0.003961,0.003961,0.003961
124,11937.3,0.26761,0.19824,0.88178,0.9967,0.99832,0.99414,0.97647,0.19894,0.12745,0.78182,0.0039115,0.0039115,0.0039115
125,12033.9,0.27152,0.19877,0.87915,0.9945,0.99832,0.99429,0.97648,0.20046,0.12597,0.78122,0.003862,0.003862,0.003862
126,12130.1,0.26694,0.19932,0.88447,0.99755,0.99832,0.9944,0.97766,0.19968,0.12673,0.78015,0.0038125,0.0038125,0.0038125
127,12227.1,0.26511,0.19578,0.87978,0.99759,0.99832,0.99416,0.97688,0.19776,0.12774,0.77974,0.003763,0.003763,0.003763
128,12323.6,0.26406,0.1978,0.88173,0.99745,0.99832,0.99423,0.97952,0.19578,0.12433,0.77854,0.0037135,0.0037135,0.0037135
129,12420.6,0.26372,0.19547,0.87866,0.9976,0.99832,0.99433,0.97876,0.19474,0.12196,0.7793,0.003664,0.003664,0.003664
